neighbourhood,room_type,price
Morgan Park,Entire home/apt,89
Rogers Park,Entire home/apt,80
Lincoln Park,Entire home/apt,124
Lake View,Entire home/apt,289
Near South Side,Entire home/apt,200
Dunning,Private room,33
Near South Side,Entire home/apt,135
Near North Side,Entire home/apt,145
North Center,Entire home/apt,119
West Town,Entire home/apt,78
Oakland,Private room,53
West Town,Entire home/apt,172
Loop,Entire home/apt,220
Avondale,Private room,78
Near West Side,Private room,136
West Lawn,Private room,34
West Town,Entire home/apt,159
Lincoln Park,Entire home/apt,200
South Shore,Entire home/apt,70
Near North Side,Private room,100
Logan Square,Entire home/apt,64
Near South Side,Private room,85
Lincoln Square,Entire home/apt,150
Logan Square,Entire home/apt,150
North Center,Entire home/apt,74
Near West Side,Private room,97
Rogers Park,Entire home/apt,130
Lower West Side,Entire home/apt,55
Oakland,Private room,63
Logan Square,Entire home/apt,1157
Albany Park,Entire home/apt,106
Lake View,Private room,181
Edgewater,Entire home/apt,89
Lake View,Entire home/apt,386
Lake View,Private room,70
Lake View,Private room,69
Avondale,Private room,78
West Town,Entire home/apt,279
Lake View,Private room,70
Near West Side,Entire home/apt,299
East Garfield Park,Entire home/apt,82
West Town,Private room,91
Lake View,Entire home/apt,650
Lake View,Private room,70
Lake View,Private room,75
Rogers Park,Private room,48
Lake View,Entire home/apt,375
Lincoln Park,Entire home/apt,62
Hyde Park,Private room,75
Lake View,Entire home/apt,230
Lincoln Park,Entire home/apt,89
West Town,Private room,55
Logan Square,Entire home/apt,50
Loop,Entire home/apt,150
Logan Square,Entire home/apt,130
Edgewater,Private room,39
Lincoln Park,Entire home/apt,199
Rogers Park,Private room,71
Rogers Park,Private room,103
Irving Park,Entire home/apt,69
Edgewater,Entire home/apt,65
Near North Side,Entire home/apt,135
Near North Side,Entire home/apt,263
Rogers Park,Private room,60
Grand Boulevard,Private room,85
Near North Side,Entire home/apt,100
Lake View,Private room,148
Bridgeport,Entire home/apt,65
Humboldt Park,Entire home/apt,86
South Shore,Private room,100
Logan Square,Private room,54
West Town,Entire home/apt,254
West Lawn,Private room,34
Lake View,Private room,101
West Ridge,Private room,55
Near North Side,Entire home/apt,105
Lower West Side,Entire home/apt,37
Hyde Park,Private room,25
Grand Boulevard,Private room,115
Uptown,Private room,80
West Town,Entire home/apt,90
Dunning,Private room,85
Lincoln Park,Entire home/apt,184
Rogers Park,Private room,80
Rogers Park,Private room,80
Near West Side,Entire home/apt,96
Logan Square,Entire home/apt,150
Uptown,Entire home/apt,125
West Town,Entire home/apt,135
Hyde Park,Private room,26
Hyde Park,Entire home/apt,100
Hyde Park,Private room,59
Hyde Park,Private room,21
Logan Square,Private room,500
Lake View,Private room,79
Lake View,Entire home/apt,132
Lower West Side,Private room,70
West Town,Entire home/apt,104
Lincoln Park,Entire home/apt,164
Edgewater,Private room,38
West Town,Entire home/apt,135
Logan Square,Private room,50
Lake View,Entire home/apt,144
Uptown,Private room,81
Lincoln Park,Entire home/apt,125
Lake View,Entire home/apt,186
Near North Side,Entire home/apt,377
Irving Park,Private room,86
Loop,Entire home/apt,104
Lake View,Private room,64
Logan Square,Entire home/apt,215
Edgewater,Private room,60
Near North Side,Entire home/apt,80
Lincoln Square,Entire home/apt,58
Lincoln Square,Entire home/apt,150
Grand Boulevard,Private room,118
Logan Square,Entire home/apt,270
Logan Square,Entire home/apt,61
Grand Boulevard,Private room,115
Forest Glen,Entire home/apt,50
West Ridge,Shared room,22
Near North Side,Entire home/apt,232
Lake View,Private room,75
Lower West Side,Private room,50
Irving Park,Private room,36
North Center,Entire home/apt,199
Armour Square,Entire home/apt,110
Armour Square,Entire home/apt,100
Armour Square,Private room,40
Irving Park,Private room,106
Uptown,Private room,75
West Town,Entire home/apt,170
Near North Side,Entire home/apt,121
Rogers Park,Entire home/apt,80
Dunning,Private room,39
West Town,Entire home/apt,90
Uptown,Entire home/apt,213
Logan Square,Private room,75
Lincoln Park,Entire home/apt,800
Avondale,Entire home/apt,83
Lake View,Entire home/apt,200
Lake View,Entire home/apt,159
Logan Square,Private room,51
Logan Square,Private room,51
South Deering,Entire home/apt,150
Lake View,Entire home/apt,105
West Town,Private room,85
Uptown,Hotel room,270
West Town,Entire home/apt,125
Uptown,Entire home/apt,416
Uptown,Private room,230
Lincoln Park,Private room,105
West Town,Private room,55
Albany Park,Entire home/apt,105
Pullman,Private room,50
Uptown,Entire home/apt,999
Near North Side,Entire home/apt,250
West Town,Private room,75
West Town,Private room,69
Logan Square,Entire home/apt,150
West Town,Private room,44
West Town,Private room,46
West Town,Entire home/apt,65
West Town,Entire home/apt,90
West Town,Entire home/apt,214
West Town,Entire home/apt,150
Lower West Side,Private room,25
Hyde Park,Private room,69
West Town,Private room,65
West Town,Private room,89
Rogers Park,Entire home/apt,104
West Town,Entire home/apt,185
West Town,Entire home/apt,109
Logan Square,Entire home/apt,145
Logan Square,Entire home/apt,96
Rogers Park,Private room,40
South Shore,Private room,45
Irving Park,Private room,32
Lincoln Park,Entire home/apt,120
Lincoln Park,Entire home/apt,161
West Town,Entire home/apt,103
South Shore,Private room,26
South Shore,Private room,25
West Town,Private room,80
Lake View,Entire home/apt,1576
Logan Square,Entire home/apt,427
West Town,Private room,115
Uptown,Private room,73
Near South Side,Private room,120
Lincoln Park,Entire home/apt,185
Logan Square,Entire home/apt,154
South Lawndale,Private room,59
Near North Side,Entire home/apt,200
South Lawndale,Private room,48
South Lawndale,Private room,62
Lincoln Square,Entire home/apt,79
West Town,Entire home/apt,165
Lincoln Park,Private room,50
Grand Boulevard,Private room,124
West Garfield Park,Entire home/apt,39
Lake View,Entire home/apt,1232
East Garfield Park,Entire home/apt,40
West Town,Entire home/apt,214
Lake View,Private room,79
Near North Side,Entire home/apt,120
Near West Side,Entire home/apt,185
West Town,Entire home/apt,88
Hermosa,Private room,30
West Town,Private room,88
Near North Side,Entire home/apt,349
Mckinley Park,Entire home/apt,45
Avondale,Entire home/apt,93
Douglas,Private room,86
Loop,Entire home/apt,200
Rogers Park,Entire home/apt,140
West Ridge,Shared room,21
North Center,Entire home/apt,250
Uptown,Private room,219
Uptown,Private room,399
Lake View,Entire home/apt,122
North Center,Private room,59
North Center,Entire home/apt,450
Logan Square,Entire home/apt,119
Portage Park,Entire home/apt,66
West Town,Entire home/apt,147
West Town,Private room,67
North Center,Entire home/apt,175
Hermosa,Entire home/apt,100
Loop,Entire home/apt,175
Edgewater,Private room,90
Avondale,Private room,51
West Town,Entire home/apt,298
Humboldt Park,Entire home/apt,82
Logan Square,Private room,129
Dunning,Private room,125
Logan Square,Private room,25
Albany Park,Entire home/apt,299
Near North Side,Entire home/apt,159
Near North Side,Entire home/apt,80
Lincoln Square,Entire home/apt,70
Hegewisch,Entire home/apt,99
North Center,Private room,76
West Town,Entire home/apt,85
Douglas,Private room,76
Loop,Entire home/apt,175
Irving Park,Entire home/apt,80
West Town,Private room,80
Near West Side,Entire home/apt,150
Irving Park,Entire home/apt,69
Lincoln Park,Entire home/apt,89
West Town,Entire home/apt,112
Near North Side,Entire home/apt,132
West Ridge,Entire home/apt,82
Kenwood,Private room,167
Lower West Side,Private room,56
Avondale,Entire home/apt,117
Loop,Entire home/apt,129
Armour Square,Entire home/apt,101
West Town,Entire home/apt,106
Lincoln Park,Entire home/apt,174
North Center,Entire home/apt,157
Lincoln Park,Entire home/apt,186
Lincoln Park,Entire home/apt,251
North Center,Entire home/apt,248
Lower West Side,Shared room,28
West Town,Entire home/apt,159
Lincoln Park,Entire home/apt,117
Woodlawn,Private room,57
Logan Square,Entire home/apt,175
Lincoln Square,Entire home/apt,285
Logan Square,Entire home/apt,61
Lincoln Square,Entire home/apt,97
Hyde Park,Private room,50
Lincoln Park,Entire home/apt,144
Lake View,Entire home/apt,428
West Town,Entire home/apt,144
Near North Side,Entire home/apt,75
Rogers Park,Entire home/apt,395
Uptown,Entire home/apt,199
Logan Square,Entire home/apt,85
Lake View,Entire home/apt,199
Uptown,Private room,57
Dunning,Private room,90
West Town,Private room,104
Loop,Entire home/apt,231
North Center,Entire home/apt,151
North Center,Entire home/apt,247
North Center,Entire home/apt,233
North Park,Entire home/apt,75
Uptown,Private room,72
Lower West Side,Entire home/apt,91
Grand Boulevard,Private room,121
Lake View,Entire home/apt,139
North Center,Entire home/apt,425
West Town,Entire home/apt,165
West Town,Entire home/apt,151
Logan Square,Private room,49
Washington Park,Private room,40
Logan Square,Entire home/apt,79
Washington Park,Private room,63
Grand Boulevard,Private room,96
North Center,Entire home/apt,155
Edgewater,Private room,56
Near North Side,Entire home/apt,211
North Center,Entire home/apt,247
Jefferson Park,Private room,85
West Town,Entire home/apt,200
Jefferson Park,Entire home/apt,108
Lake View,Entire home/apt,150
West Town,Entire home/apt,207
Humboldt Park,Private room,55
North Center,Entire home/apt,195
North Center,Entire home/apt,222
Lincoln Park,Entire home/apt,194
Portage Park,Private room,55
Lincoln Park,Entire home/apt,196
Lincoln Park,Entire home/apt,256
Near West Side,Private room,156
Uptown,Private room,85
North Park,Entire home/apt,58
Near North Side,Entire home/apt,94
West Town,Entire home/apt,132
Avondale,Private room,35
South Shore,Entire home/apt,75
East Garfield Park,Private room,59
Avondale,Private room,38
Grand Boulevard,Private room,543
Irving Park,Entire home/apt,135
Irving Park,Private room,59
West Town,Entire home/apt,88
Near North Side,Entire home/apt,109
Logan Square,Entire home/apt,107
West Town,Entire home/apt,350
Avondale,Private room,33
West Town,Private room,55
West Town,Private room,110
Near West Side,Private room,99
West Town,Entire home/apt,149
Avondale,Entire home/apt,129
Dunning,Private room,69
Lake View,Private room,59
Uptown,Hotel room,266
Edgewater,Private room,37
West Town,Entire home/apt,261
West Elsdon,Entire home/apt,96
Dunning,Private room,65
Near West Side,Private room,100
Portage Park,Private room,61
Logan Square,Entire home/apt,120
Lake View,Entire home/apt,425
West Town,Private room,43
Oakland,Entire home/apt,85
Loop,Entire home/apt,71
Loop,Entire home/apt,304
West Elsdon,Private room,75
West Town,Entire home/apt,43
Bridgeport,Entire home/apt,115
Rogers Park,Private room,48
Irving Park,Entire home/apt,60
Uptown,Hotel room,249
Loop,Entire home/apt,120
Lake View,Private room,40
Lake View,Entire home/apt,95
Logan Square,Entire home/apt,67
Lower West Side,Private room,53
West Town,Entire home/apt,429
Logan Square,Entire home/apt,180
Lincoln Park,Private room,66
Logan Square,Entire home/apt,61
West Town,Entire home/apt,132
Edgewater,Entire home/apt,90
West Town,Entire home/apt,117
Lincoln Square,Private room,63
North Center,Entire home/apt,85
Portage Park,Private room,49
Logan Square,Entire home/apt,146
Lake View,Entire home/apt,264
North Center,Entire home/apt,100
Near West Side,Entire home/apt,195
Lincoln Park,Private room,49
Logan Square,Private room,115
Lake View,Entire home/apt,371
Lake View,Entire home/apt,159
Uptown,Private room,239
Avondale,Entire home/apt,55
Uptown,Private room,199
Edgewater,Entire home/apt,100
Portage Park,Private room,49
Lake View,Entire home/apt,471
West Town,Private room,77
Avondale,Private room,38
West Town,Private room,107
Logan Square,Private room,181
Uptown,Entire home/apt,299
Portage Park,Entire home/apt,61
Avondale,Shared room,30
West Town,Entire home/apt,499
Near North Side,Entire home/apt,215
Armour Square,Private room,57
Lake View,Private room,90
Uptown,Entire home/apt,149
Lake View,Entire home/apt,86
West Town,Entire home/apt,78
Irving Park,Private room,56
Irving Park,Shared room,39
Near North Side,Entire home/apt,242
West Town,Private room,99
Rogers Park,Private room,61
West Town,Entire home/apt,363
Austin,Private room,30
Jefferson Park,Entire home/apt,49
Ashburn,Entire home/apt,150
Lake View,Entire home/apt,65
Lower West Side,Entire home/apt,120
Lake View,Entire home/apt,125
Logan Square,Private room,39
West Town,Entire home/apt,332
West Town,Private room,65
West Town,Private room,125
West Town,Entire home/apt,225
Belmont Cragin,Entire home/apt,65
Grand Boulevard,Entire home/apt,89
Near North Side,Entire home/apt,90
Lake View,Entire home/apt,110
West Town,Private room,10000
Oakland,Entire home/apt,85
West Town,Entire home/apt,115
Greater Grand Crossing,Private room,28
Greater Grand Crossing,Private room,37
North Lawndale,Entire home/apt,69
Lincoln Square,Private room,64
Austin,Private room,30
West Town,Private room,65
Avondale,Entire home/apt,113
West Town,Private room,110
North Center,Entire home/apt,135
Logan Square,Entire home/apt,90
West Town,Entire home/apt,119
Logan Square,Entire home/apt,135
Lake View,Entire home/apt,299
Near North Side,Entire home/apt,389
Jefferson Park,Entire home/apt,110
Near North Side,Private room,100
Rogers Park,Shared room,43
Avondale,Entire home/apt,80
Lake View,Entire home/apt,170
East Garfield Park,Private room,49
Logan Square,Entire home/apt,90
West Town,Entire home/apt,125
Near North Side,Entire home/apt,107
West Town,Private room,75
Lake View,Private room,45
Lake View,Private room,90
Edgewater,Entire home/apt,171
Near North Side,Entire home/apt,109
Portage Park,Private room,52
West Town,Entire home/apt,94
Grand Boulevard,Private room,45
Grand Boulevard,Private room,45
Logan Square,Entire home/apt,89
North Lawndale,Private room,60
Near North Side,Entire home/apt,160
Irving Park,Entire home/apt,175
West Town,Entire home/apt,250
Lake View,Entire home/apt,89
West Town,Private room,85
East Garfield Park,Entire home/apt,193
Lake View,Entire home/apt,200
Lake View,Entire home/apt,119
Irving Park,Private room,50
Belmont Cragin,Entire home/apt,190
Lake View,Private room,90
South Shore,Private room,30
Douglas,Private room,59
Rogers Park,Private room,60
Douglas,Private room,55
Near North Side,Entire home/apt,153
Lake View,Entire home/apt,108
Lake View,Entire home/apt,249
Avondale,Entire home/apt,86
West Town,Entire home/apt,198
Near North Side,Entire home/apt,60
Near North Side,Entire home/apt,100
Logan Square,Private room,50
Lake View,Entire home/apt,559
Lower West Side,Private room,29
Lower West Side,Private room,29
Lower West Side,Private room,83
Near West Side,Entire home/apt,98
Logan Square,Entire home/apt,301
West Town,Private room,78
West Town,Entire home/apt,115
Lake View,Entire home/apt,295
West Ridge,Private room,49
Portage Park,Private room,59
Near North Side,Entire home/apt,99
Avondale,Shared room,35
West Town,Private room,128
Logan Square,Entire home/apt,300
Logan Square,Entire home/apt,125
Lower West Side,Private room,29
Woodlawn,Private room,28
Near West Side,Entire home/apt,105
Lake View,Private room,69
Norwood Park,Entire home/apt,99
Bridgeport,Private room,45
North Center,Entire home/apt,104
Lake View,Private room,89
Garfield Ridge,Private room,35
Lower West Side,Private room,46
West Town,Entire home/apt,121
West Town,Entire home/apt,91
Edgewater,Entire home/apt,129
West Town,Entire home/apt,349
Lower West Side,Entire home/apt,55
Lake View,Entire home/apt,318
Austin,Entire home/apt,139
Edgewater,Entire home/apt,100
Uptown,Entire home/apt,90
Logan Square,Entire home/apt,95
West Town,Private room,55
East Garfield Park,Entire home/apt,105
Logan Square,Private room,75
West Town,Private room,66
Lake View,Entire home/apt,280
Near North Side,Private room,91
Austin,Private room,33
Austin,Private room,24
Humboldt Park,Shared room,64
North Center,Entire home/apt,77
Lake View,Entire home/apt,413
North Center,Entire home/apt,104
Lower West Side,Private room,39
Belmont Cragin,Private room,50
Lake View,Entire home/apt,299
Lake View,Entire home/apt,179
Edgewater,Private room,46
West Ridge,Private room,60
Grand Boulevard,Private room,80
Avondale,Entire home/apt,143
Kenwood,Entire home/apt,304
Lincoln Park,Entire home/apt,200
North Center,Entire home/apt,179
Logan Square,Entire home/apt,189
West Town,Entire home/apt,89
Near North Side,Entire home/apt,155
Loop,Entire home/apt,120
Near North Side,Entire home/apt,155
Lake View,Private room,126
Hermosa,Entire home/apt,60
Uptown,Private room,282
Near South Side,Entire home/apt,150
Lake View,Entire home/apt,114
Logan Square,Entire home/apt,99
Rogers Park,Entire home/apt,135
Avondale,Shared room,30
Near North Side,Entire home/apt,403
East Garfield Park,Private room,45
Garfield Ridge,Private room,33
Belmont Cragin,Private room,48
West Town,Entire home/apt,250
Logan Square,Private room,32
Near West Side,Entire home/apt,194
North Lawndale,Entire home/apt,59
South Lawndale,Entire home/apt,95
Albany Park,Private room,50
Washington Park,Entire home/apt,75
