neighbourhood,room_type,price
Hell's Kitchen,Private room,75
Williamsburg,Entire home/apt,200
Harlem,Private room,80
East Flatbush,Entire home/apt,115
East Flatbush,Entire home/apt,115
East Flatbush,Entire home/apt,120
Harlem,Private room,125
Upper West Side,Entire home/apt,387
Hell's Kitchen,Private room,95
Upper West Side,Entire home/apt,99
Upper East Side,Entire home/apt,121
Hell's Kitchen,Entire home/apt,350
Harlem,Private room,75
Hell's Kitchen,Private room,95
Harlem,Private room,89
West Village,Private room,195
Flatiron District,Private room,160
Sunset Park,Entire home/apt,70
Greenwich Village,Private room,100
Lower East Side,Entire home/apt,140
East Village,Entire home/apt,189
Williamsburg,Private room,160
Park Slope,Entire home/apt,178
Crown Heights,Entire home/apt,145
Park Slope,Entire home/apt,125
Chelsea,Entire home/apt,265
Prospect-Lefferts Gardens,Private room,77
Upper East Side,Private room,60
Chinatown,Entire home/apt,129
East Village,Entire home/apt,199
Prospect-Lefferts Gardens,Private room,92
Crown Heights,Entire home/apt,185
Midtown,Entire home/apt,110
Williamsburg,Private room,65
Midtown,Private room,135
Upper East Side,Shared room,115
Harlem,Private room,175
Upper West Side,Private room,3000
Williamsburg,Private room,72
Park Slope,Private room,80
Crown Heights,Entire home/apt,125
Greenpoint,Private room,120
Williamsburg,Private room,94
Prospect Heights,Private room,56
East Village,Entire home/apt,549
Greenpoint,Entire home/apt,190
Williamsburg,Private room,129
Bedford-Stuyvesant,Entire home/apt,85
Graniteville,Private room,20
Upper West Side,Entire home/apt,145
Hell's Kitchen,Entire home/apt,200
Park Slope,Entire home/apt,125
Sheepshead Bay,Entire home/apt,50
Harlem,Private room,160
Harlem,Private room,180
Inwood,Private room,100
Williamsburg,Private room,70
Spuyten Duyvil,Entire home/apt,120
Stapleton,Private room,110
Upper East Side,Private room,105
Midtown,Entire home/apt,250
Kips Bay,Private room,74
Harlem,Entire home/apt,165
Washington Heights,Private room,99
Gramercy,Entire home/apt,125
Briarwood,Private room,75
Ozone Park,Shared room,45
Columbia St,Entire home/apt,159
Williamsburg,Private room,45
Hell's Kitchen,Private room,104
Financial District,Entire home/apt,225
Nolita,Private room,100
Greenpoint,Private room,90
Briarwood,Private room,75
Flatiron District,Entire home/apt,350
Harlem,Entire home/apt,135
Upper West Side,Private room,125
East Village,Entire home/apt,225
Harlem,Private room,85
Upper East Side,Entire home/apt,200
South Slope,Entire home/apt,250
Lower East Side,Private room,90
Bushwick,Entire home/apt,130
Prospect-Lefferts Gardens,Entire home/apt,90
Carroll Gardens,Entire home/apt,298
Upper East Side,Entire home/apt,300
Harlem,Private room,125
East Harlem,Private room,125
Midtown,Private room,145
East Village,Entire home/apt,147
