neighbourhood,room_type,price
NoHo,Private room,130
West Village,Entire home/apt,199
Williamsburg,Private room,69
Fort Greene,Private room,68
East Village,Entire home/apt,130
Greenpoint,Entire home/apt,195
Harlem,Private room,64
Ditmars Steinway,Entire home/apt,140
Cobble Hill,Entire home/apt,159
East Village,Entire home/apt,189
Hell's Kitchen,Entire home/apt,250
East Village,Entire home/apt,239
Flatiron District,Entire home/apt,305
Harlem,Entire home/apt,155
Harlem,Private room,60
Windsor Terrace,Private room,135
Roosevelt Island,Private room,120
Lower East Side,Entire home/apt,150
Ridgewood,Entire home/apt,140
Greenpoint,Entire home/apt,135
Chinatown,Entire home/apt,250
Midtown,Entire home/apt,250
SoHo,Entire home/apt,500
Greenwich Village,Entire home/apt,225
East Harlem,Entire home/apt,125
Harlem,Private room,92
Harlem,Private room,175
East Village,Entire home/apt,99
Upper West Side,Entire home/apt,195
East Harlem,Entire home/apt,140
Little Italy,Entire home/apt,135
Chelsea,Entire home/apt,500
Harlem,Private room,80
Chinatown,Private room,120
Midtown,Entire home/apt,110
East Flatbush,Entire home/apt,65
East Village,Entire home/apt,130
Bushwick,Entire home/apt,99
Tompkinsville,Private room,36
Tompkinsville,Private room,37
Tompkinsville,Private room,37
East Village,Entire home/apt,175
Chelsea,Entire home/apt,205
Greenpoint,Entire home/apt,285
Williamsburg,Private room,59
Tompkinsville,Private room,36
Astoria,Entire home/apt,99
Kensington,Private room,39
Park Slope,Private room,60
Clason Point,Private room,90
Eastchester,Entire home/apt,105
Bedford-Stuyvesant,Entire home/apt,135
East Village,Entire home/apt,390
Bedford-Stuyvesant,Private room,70
Inwood,Private room,75
Williamsburg,Private room,60
East Village,Entire home/apt,200
Crown Heights,Private room,100
Bedford-Stuyvesant,Private room,70
Crown Heights,Private room,110
Crown Heights,Private room,60
Little Italy,Entire home/apt,90
East Village,Private room,68
Upper West Side,Entire home/apt,115
Bedford-Stuyvesant,Private room,75
Williamsburg,Private room,60
East Village,Entire home/apt,129
Williamsburg,Entire home/apt,130
Williamsburg,Entire home/apt,95
Harlem,Private room,75
Park Slope,Entire home/apt,175
Carroll Gardens,Entire home/apt,190
Crown Heights,Private room,49
East Village,Entire home/apt,212
Lower East Side,Private room,95
Williamsburg,Entire home/apt,140
Harlem,Entire home/apt,135
Park Slope,Entire home/apt,150
Gowanus,Entire home/apt,190
East Harlem,Entire home/apt,124
Williamsburg,Entire home/apt,135
Morningside Heights,Private room,122
Upper West Side,Private room,109
Harlem,Private room,85
Bedford-Stuyvesant,Entire home/apt,145
Upper West Side,Entire home/apt,195
Carroll Gardens,Entire home/apt,250
Greenpoint,Private room,125
Little Italy,Entire home/apt,575
Upper West Side,Entire home/apt,150
Bushwick,Private room,70
Inwood,Private room,90
East Village,Private room,65
East Village,Entire home/apt,500
Washington Heights,Entire home/apt,250
Chinatown,Entire home/apt,125
West Village,Entire home/apt,200
Greenpoint,Entire home/apt,229
Kingsbridge,Entire home/apt,90
Upper West Side,Entire home/apt,110
Greenpoint,Private room,59
Williamsburg,Entire home/apt,195
Williamsburg,Entire home/apt,169
East Harlem,Entire home/apt,113
Harlem,Entire home/apt,250
Astoria,Entire home/apt,115
Greenpoint,Private room,55
Williamsburg,Private room,69
Lower East Side,Entire home/apt,150
South Slope,Entire home/apt,169
Greenpoint,Private room,179
Hell's Kitchen,Private room,150
Boerum Hill,Entire home/apt,135
Clinton Hill,Entire home/apt,350
Williamsburg,Private room,120
East Village,Private room,71
Greenpoint,Private room,349
Greenpoint,Private room,349
Park Slope,Entire home/apt,165
Greenpoint,Private room,249
Brooklyn Heights,Private room,100
Brooklyn Heights,Entire home/apt,200
East Village,Entire home/apt,169
Bedford-Stuyvesant,Entire home/apt,185
Bushwick,Entire home/apt,65
Fort Greene,Entire home/apt,130
Williamsburg,Entire home/apt,199
East Village,Entire home/apt,225
Greenpoint,Private room,179
Crown Heights,Entire home/apt,150
East Village,Entire home/apt,139
Two Bridges,Private room,95
Crown Heights,Entire home/apt,79
