,name,latitude,longitude,price,minimum_nights
1538,Sonder | North Wells | Stunning 3BR,41.90821,-87.63526,366,3
1540,Historic Church Home in Logan Square,41.92575,-87.69514000000002,1036,2
1565,Fabian’s Little Pad,41.93983,-87.76014,1000,1
1585,Luxury Penthouse in the hottest area of the city,41.89443,-87.62796999999998,1079,2
1593,Historical Lincoln Park Home,41.93121,-87.65431,650,2
1614,Designer loft in the heart of River West,41.89555,-87.65375999999998,1021,1
1623,Spacious 2-story Wrigleyville Coach House,41.94377,-87.65308,600,3
1640,3 BR East Lakeview Coach House with Large Patio,41.93409000000001,-87.6396,421,1
1672,Lovely 3/2.5 duplex in Wicker Park area,41.900459999999995,-87.66332,399,3
1673,Say Aloha To Your Tropical Paradise Escape,41.90749,-87.67566,479,30
1679,Pilsen Gem,41.85076,-87.6689,499,39
1688,50ft Sunseeker Yacht in River North,41.90586,-87.64923,999,50
1700,Cozy Vintage 1bdrm-Pilsen,41.85117,-87.66898,499,2
1707,Large 1 bedroom with Private Bath,41.939170000000004,-87.64981999999998,9999,80
1718,Pilsen Wonder,41.85153,-87.66955,499,2
1719,Soaring Pristine & Spacious Flat w/Private Rooftop,41.94558,-87.65598,393,2
1739,Relax with Family in a Luxury Chicago Single Family Home,41.89829,-87.66206,499,3
1744,Upscale Old Town Five Bedroom,41.91214,-87.63746,550,4
1752,Come Together in This Vibrant Restored Mansion near Wrigley,41.96297,-87.65549,861,2
1773,3 Level Wicker Park Home for 24 w/ 6 Car Garage,41.91167,-87.66733,775,3
1779,Exceptional 8 Bedroom Humboldt Park Duplex,41.90377,-87.69595,444,3
1827,Modern Apartment  - Cleaned by Cleancio,41.90175,-87.66728,1200,32
1848,2 Floor - 4 BR- 4Baths Condo Near downtown Chicago,41.89543,-87.66369,381,1
1864,WrigleyVilla - 1/2 Block From Wrigley Field!,41.95109,-87.65508,379,2
1877,HUGE MODERN 4 BED 4 BATH CHICAGO COACH HOUSE,41.93517,-87.6794,549,3
1913,Bucktown Sun Palace,41.921479999999995,-87.68533000000002,599,3
1969,The entire empty HOUSE for at least one night.,41.74713,-87.54775,500,1
1971,Lincoln Park Mansion w/ Rooftop Bar/Lounge!,41.91614000000001,-87.65267,676,2
1998,Luxe 6BR House *Trendy Logan Square *Garage Access,41.934870000000004,-87.70182,370,2
2029,3BD Duplex Loft in Lincoln Park-parking included,41.91792,-87.6544,499,2
2042,3Bdrm New home w/view & deck - 2nd Floor,41.94743,-87.65906,416,1
2053,Chicago 4 level townhome+deck near Wrigley&MichAve,41.934,-87.68793000000002,527,182
2078,Beautiful and Comfortable Lincoln Park Home,41.93187,-87.66258,450,1
2131,Luxury King Bed! 1 Block from CTA & Gated Parking!,41.96091,-87.65628000000002,550,4
2153,New construction luxury condo mins away from dwntn,41.89862,-87.66731999999998,363,1
2175,Luxurious Accommodations in the heart of Downtown,41.88055,-87.62845,500,2
2188,"Pro Cleaned, Lakeview Greystone One Block from Wrigley Field",41.946529999999996,-87.65505,486,2
2284,Huge 2bd./2bath. luxury loft at the West Loop,41.88312,-87.65087,361,3
2302,ROOM SERVICE  EVERTY 2 DAYS- KING BED- MIL PARK,41.88714,-87.6176,400,2
2309,Luxury Studio Steps to Navy Pier,41.89465,-87.63110999999998,400,2
2337,Spacious Five Bedroom Home in Trendy Chicago Neighborhood,41.90763,-87.66951999999998,1153,4
2349,Chicago House w/ Large Rooftop Deck Near Downtown!,41.84091,-87.6637,357,2
2353,Modern Duplex-1 mile to downtown-4BR 2BA on 2 flrs,41.89172,-87.65635,445,30
2356,3 BR w/ Parking Lincoln Park - Walk to Park & Lake,41.91972,-87.64265999999998,407,2
2391,PLAY & STAY LIKE A LOCAL 5bed 3bath house,41.97133,-87.72903000000002,385,3
2415,Lovely Designer Home  RiverWest 4-Bedrooms/4-Bath,41.8934,-87.65509,792,1
2430,Beautiful West Loop Designer Condo,41.88329,-87.647,600,2
2441,Staycation | Patio+Rooftop Deck | Garage Parking,41.90992,-87.69013000000002,509,3
2447,Amazing Lincoln Park Rowhouse!!,41.92207,-87.65418000000004,650,2
2465,Private Backyard - Wicker Park/Bucktown Home,41.90984,-87.67103,450,2
2506,2bedroom 2 bathroom condo south loop Chicago,41.86162,-87.62734,550,3
2512,Large 12 Bedroom Chicago Home- Sleeps 25,41.93888,-87.72112,643,2
2525,Designer Furnished Family Home,41.89428,-87.67546,500,2
2526,Cute Studio Apartment – July Sublet,41.92968,-87.71118,1095,30
2532,"The Maplewood |Patio+Rooftop Deck,Grg Pkg Sleeps20",41.91019,-87.68767,659,3
2544,Adorable Single Family Home in Logan Square,41.92074,-87.68975,388,2
2572,Bucktown Home - Great Location!,41.91733,-87.68412,509,2
2592,"Holiday Rental -Spacious 2 BR, quick to downtown",41.90117,-87.66866,1000,100
2595,Large Chicago apt  excellent for families/business,41.932140000000004,-87.64089,600,1
2611,Sunlit Sanctuary with Huge Landscaped Private Outdoor Patio,41.93655,-87.65484000000002,433,5
2626,♥ 3BR/2.5 BA House + Roof Deck in Wicker Park  ♥,41.91007000000001,-87.69159,428,3
2655,The JP inn - Explore Chicago from safe 4 BR home,41.980959999999996,-87.77231,500,1
2673,Pilsen cozy simple 2nd floor bedroom,41.85383,-87.67274,3000,2
2700,Cook meals at home in this stunning 3BD with a full kitchen,41.88775,-87.63254,734,2
2704,Wrigley Luxury Home Vintage Charm Modern Finishes,41.94959,-87.66745999999998,536,4
2714,DAILY ROOM SERVICE- KING BED IN HIGH RISE,41.88142,-87.6428,400,2
2723,Big 4 bedroom single home by McCormick & Downtown,41.84468,-87.65538000000002,498,1
2766,Home for Relaxing & Entertaining Near to Wrigley,41.95673,-87.69026,529,2
2769,LARGE SPACE - TWO LEVELS  - DECK - PARKING!,41.93012,-87.65956,443,90
2779,STUNNING 3/3 RIVER WEST DUPLEX W/ PRIVATE ROOFDECK,41.899029999999996,-87.65848000000004,400,3
2784,Bold and Bright Owner's Flat in Design District,41.892540000000004,-87.63449,427,1
2804,Amazing French style apt near beach and train.,41.98904,-87.66479,700,1
2809,3 Bed Wrigley home w/view & deck - 3rd Fl,41.94924,-87.6582,400,1
2868,Soak Up Mid-Century Style in Wrigleyville and Boystown,41.944359999999996,-87.64458,456,1
2873,Oasis 1 #1416 - 4 Bedroom Condo - McCormick Place,41.853559999999995,-87.63259000000002,399,1
2876,Oasis In The Chi - HOME,41.75392,-87.65614000000002,399,1
2932,6 Bedrooms in Beautiful Sheridan Park!,41.963390000000004,-87.66508,396,3
2947,Chicago Apartment,41.79616,-87.62196,550,7
2961,Opulent 3bdr2bth Old Town Luxury + Parking prmts,41.914320000000004,-87.6359,429,2
2972,"Beautiful Modern, large, 4BR/4BA Private Home",41.918,-87.68036,500,2
3008,Bright Beautiful Warm & Cozy Modern Loft Home,41.83699,-87.64834,407,2
3087,Whole 3 Story house! Wicker Park area-15mn fr loop,41.89767,-87.69147,650,2
3104,Chicago Multi-unit close to united center,41.8819,-87.68444000000002,1500,7
3110,Gorgeous home near Wrigley/train to downtown,41.95196,-87.67583,428,2
3115,Beautiful Penthouse in Wonderful Wicker Park,41.90467,-87.67522,700,3
3136,Steps to Downtwn/Lakefront/Festivals,41.85032,-87.62363,500,1
3163,A Northside Home Near Wrigley & CTA (Sleeps 21),41.96266,-87.66851,475,1
3185,Enjoy Chicago’s Vibe in a Sunny Studio w/ King Bed,41.88361,-87.64285,400,2
3195,Beautiful 7Br Custom Built Single-Family Home,41.84453,-87.65586,650,3
3262,3 bedroom apartment near blue line,41.90736,-87.69325,400,1
3266,Heart of Wrigleyville 4 bed 2 bath,41.9506,-87.65876999999998,364,3
3286,Lang House Chicago - where Art & Architecture meet,42.015570000000004,-87.66526,980,1
3295,Massive 10 bd/5 ba house in  heart of Wrigleyville,41.95197,-87.65862,786,2
3336,Serenity - Next to Downtown & McCormick Place,41.84722,-87.65448,600,1
3359,High Rise with King Bed & Jacuzzi in the Loop,41.88302,-87.62905,400,3
3393,Historic Gold Coast Rowhouse with Garage Parking!,41.90271,-87.63181999999998,507,3
3410,Chicago home designed by Frank Lloyd Wright,42.01716,-87.66553,486,1
3420,*LUX* Designer's Kitchen Home - McCormick Place,41.813759999999995,-87.60096,399,2
3447,Gorgeous spacious home near downtown,41.89363,-87.65396,1033,1
3476,"XL Penthouse""The Harper""Book 6 Nights Get 1 FREE",41.88816,-87.64809,537,2
3503,Upscale Condo Units - Wrigley/Southport - Sleep 12,41.93867,-87.66534,539,1
3509,Wrigley Field/Lakeview -Entire Home- Large Groups!,41.93268,-87.65505,696,2
3549,Luxury Building in Gold Coast - 3 full apartments!,41.90155,-87.62682,599,1
3560,GROUP LUX in Gold Coast FULL FLOOR 4bd/4ba+Parking,41.8995,-87.62195,524,2
3561,"XL Penthouse""The Harper""Book 6 Nights Get 1 FREE",41.88664,-87.64726999999998,537,2
3565,Spinnaker - 4 Bedroom Italianate Penthouse OldTown,41.91057,-87.64034000000002,386,2
3576,Luxury in Lincoln Square! 4BR Home with Patio,41.97016,-87.68056,384,3
3579,Perfect Lincoln Park location to enjoy the City!,41.92308,-87.64141,375,5
3584,"Spectacular Fulton Market Penthouse, Sleeps 24 in Style",41.886070000000004,-87.65092,561,2
3589,Furnished Lux Monthly Rental Heart of E. Lakeview,41.94458,-87.64674000000002,3690,31
3603,One Of A Kind Luxe Logan Square Home 8BR/5.5BA/PK!,41.917590000000004,-87.71215,1552,3
3625,Oasis 2 #3 - 5 bedroom Duplex - McCormick Place,41.8506,-87.63368,422,1
3648,Oasis 1 #3132 - 4 Bedroom Condo - McCormick Place,41.851929999999996,-87.63216,386,1
3652,Oasis 4 #1S - 4 Bedroom Condo - McCormick Place,41.84547,-87.63426,376,1
3661,St. Emeric - Chef's Residency,41.92692,-87.6953,450,2
3676,Lincoln Park Joyful Home for 14,41.913000000000004,-87.64813000000002,2450,3
3677,Oasis 4 #2S - 5 Bedroom Condo - McCormick Place,41.84408,-87.63372,376,1
3678,Oasis 4 #1N - 4 Bedroom Condo - McCormick Place,41.84372000000001,-87.63517,422,1
3679,Oasis 4 #2N - 4 Bedroom Condo - McCormick Place,41.84366,-87.63292,376,1
3699,PRIVATE DELUXE ROOM (VD),41.82632,-87.61777,1000,8
3704,COACH HOUSE in WRIGLEYVILLE,41.9533,-87.66716,1200,2
3714,15% DISCOUNT- ASK ME FOR IT NOW,41.88614000000001,-87.62526,400,3
3737,McKinley Park Condos,41.82546,-87.67041,2000,5
3757,Luxury Single Family Lincoln Park Home,41.929629999999996,-87.66986,1085,3
3765,Wicker Park 1320,41.90247,-87.68238000000002,429,3
3774,King Bed & Netflix & Gym & Millennium Park,41.88616,-87.61719000000002,400,2
3775,Large groups welcome! 20+ by Wrigley and Logan.,41.9341,-87.69032,1486,2
3776,King Bed Modern Apartment near Lakeshore Park,41.88626,-87.62164,400,2
3777,ONLY SWIMMING POOL still OPEN INDOORS,41.88514,-87.62306,400,2
3783,SUPER EARLY CHECK IN AND SUPER LATE CHECK OUT,41.88541,-87.62363,400,2
3786,Luxury 2BDR w/ King Bed Centrally Located in Loop,41.88466,-87.62338000000004,400,30
3788,SUPER EARLY CHECK IN AND SUPER LATE CHECK OUT,41.89567,-87.63256,400,30
3789,Heart of Downtown Studio Ideal for Family Trip,41.89458,-87.63143000000002,400,30
3795,"8 min from downtown, mccormick white sox Chinatown",41.82687,-87.64635,399,1
3811,Logan Square Single Family Home w/ Deck & Parking,41.92085,-87.71655,370,3
3812,"Luxury place, pool, spa, sauna  and room service",41.89091,-87.63726,550,2
3813,Expansive 5 Bed Home near Chicago's HOT West Loop,41.87811,-87.68034,380,3
3818,Chicago River House in the woods,41.98252,-87.71603,500,1
3829,给您一个温馨的家,41.828309999999995,-87.64522,366,30
3850,Rock and Roll Paradise,41.8951,-87.65365,1921,1
3855,Oasis 1 #2324 - 4 Bedroom Condo - McCormick Place,41.85177,-87.6321,399,1
3856,Oasis 1 #3334 - 4 Bedroom Condo - McCormick Place,41.8529,-87.63184,399,1
3858,Historic luxury Townhouse  in Downtown Chicago,41.90136,-87.62574000000002,500,2
3862,Updated Vintage Wrigleyville Triplex - Sleeps 18!,41.951370000000004,-87.64851,911,3
3874,Contemporary Drama & Volume in Bucktown,41.91773,-87.67639,575,4
3883,Open House Contemporary Elegant Modern Design,41.896229999999996,-87.65515,2788,1
3897,Massive Old Town home steps to Wells St & Beach,41.91049,-87.63856,641,3
3898,It's the life of the party,41.76791,-87.65921,1500,3
3900,Tropical Five Bed // Back Patio in Wicker Park,41.90927,-87.67402,536,30
3906,Gold Coast/Michigan Ave/Downtown 2 Bedroom,41.899609999999996,-87.62659000000002,450,2
3908,Gold Coast/Michigan Ave/Downtown 3BD PH,41.90074,-87.62456,1000,2
3921,2-Spectacular luxury homes downtown-Sleeps 22,41.90044,-87.6521,2338,1
3926,A Spacious 4BR Apt - Close to DePaul and Transit!,41.92781,-87.6467,635,1
3927,Spacious 4200 sqft home on Malt Row- Free Parking,41.968540000000004,-87.67617,1057,2
3932,5 MINUTE WALK TO WRIGLEY FIELD - PARKING INCLUDED,41.943999999999996,-87.65982,355,2
3938,"BIG Unit, Wrigleyville, Step to Wrigley, Metro",41.951,-87.65785,9000,2
3947,Trendy West Town Home with Massive Yard,41.895,-87.69421,450,4
3961,New renovated beautiful condo close to everything,41.90835,-87.63455,414,2
3969,A Sunny 4BR in Lincoln Park - Perfect Location ❤️,41.92738,-87.64526,635,1
3978,15% DISCOUNT- ASK ME FOR IT NOW,41.88625,-87.62071999999998,400,2
3989,🏠 6 BR 4 BA Victorian Family Retreat,41.8776,-87.69454,581,3
4028,Fulton Market Industrial Modern Designer Loft,41.88467,-87.6525,799,1
4038,4 Bedrooms Family Retreat near McCormick,41.84063,-87.66368,464,2
4040,"Wicker Park w/ 2 parking spaces, sleeps up to 16",41.90793,-87.67038000000002,409,1
4048,Villa Dubois #1,41.819559999999996,-87.60405,1000,8
4062,The Armitage In Logan Square 4BR/2.5BA,41.91474,-87.71361,565,3
4063,The Cortland In Logan Square 4BR/3BA w/Parking!,41.91467,-87.71278000000002,913,3
4088,Wicker Park Modern Mansion-5 Roof Decks-City View,41.901,-87.68221,1250,2
4089,Stunning River North Studio Close to Water Tower,41.89504,-87.6311,400,2
4091,Luxurious Downtown Studio in River North,41.89569,-87.63271,400,2
4095,"Spacious house 4BR/2.5BH, 10 min DTWN *W/Garage",41.90466,-87.69059,470,2
4119,The Epicurean Experience,41.94587,-87.75088000000002,416,3
4144,Steps from Mag Mile - King Bed Boutique Hotel,41.88714,-87.62413000000002,9999,1
4145,Steps from Mag Mile -Suite in Boutique Hotel,41.886070000000004,-87.62443,9999,1
4146,Steps from Mag Mile - 2 Queen Beds Boutique Hotel,41.88621,-87.62385,9999,1
4159,Stunning Hideout in Premiere Location + King Bed,41.88608,-87.63194,400,2
4168,Swimming Pool & King Bed near The Bean,41.88575,-87.62561,400,2
4169,Pearl Event Space,41.94599,-87.70626999999998,1500,1
