,name,latitude,longitude,price,minimum_nights
1964,Beautiful Updated Greenwood home,47.694444,-122.34659409999999,215,5
1990,Delightful Updated Craftsman,47.68396503,-122.3579253,299,1
1999,Renovated Charmer Near Green Lake,47.6866033,-122.3485413,235,2
2027,Sans souci in Seattle,47.69656164,-122.36275069999999,280,1
2033,Beautiful Seattle Home ,47.68412284,-122.3470257,225,1
2036,4BD/3BA Cottage House in Greenwood,47.68765781,-122.3575246,300,2
2053,3bd 2bt great bargain  sleep 6-10,47.534276399999996,-122.2816062,215,3
2055,Luxury RV for rent - Mercedes RV,47.53903549,-122.29424329999999,375,1
2056,3 level brace point view home,47.51501214,-122.3955506,270,2
2057,"Modern Luxury, Puget Sound Views",47.52039401,-122.38928529999998,495,3
2082,Puget sound/Seattle view townhouse,47.57805989,-122.3140097,260,1
2091,5 Bed 3Bath House Near Downtown SEA,47.57756078,-122.3042807,399,1
2092,"Christmas in the city, no car req'd",47.58004409,-122.30709350000001,300,7
2097,3Bed 2Bath w/ Deck Near Dwntwn SEA,47.57727070000001,-122.3018571,219,1
2146,2BR Contemporary Columbia City Home,47.54396632,-122.2716892,275,2
2174,Group / family home for Christmas,47.67786913,-122.27183020000001,244,3
2182,Lake Washington Waterfront Home,47.52456533,-122.26091880000001,295,2
2216,Beautiful Mount Baker Craftsman,47.58811613,-122.2923081,300,3
2247,Family Home for Urban Travelers,47.56791074,-122.29338840000001,220,2
2270,"Very nice modern house, room for 8",47.56432648,-122.288292,300,3
2331,Beautiful Tudor Home Water View,47.5596013,-122.2721539,250,1
2352,Seward Park Bungalow (SeaFair Spot),47.55568445,-122.26645900000001,250,1
2360,Family Oasis with Stunning Views,47.54660516,-122.2666818,279,2
2364,Steps to Lake Washington 3 bed/2 ba,47.55351274,-122.2616098,375,2
2458,"Beautiful, Artistic Home, near UW",47.66962389,-122.29996440000001,280,3
2471,"Beautiful Modern Home in Ravenna,",47.68108641,-122.3074442,325,1
2474,Daylight basement ,47.68059724,-122.3073584,245,1
2515,Elegant home in N. Capitol Hill,47.6474162,-122.3213751,525,2
2518,Fabulous Views of Lakes & Mountains,47.64574866,-122.3185807,750,3
2519,"Portage Bay Escape, Seattle",47.64646126,-122.3170406,250,2
2521,Centrally located Roanoke Park home,47.64586724,-122.3214156,380,1
2524,Garden unit in historic home 2BR2BA,47.64728778,-122.31945520000001,257,1
2530,Executive Retreat,47.66914256,-122.2798665,295,3
2532,"Sunrise views, 2 Gas Stoves, 4 beds",47.66836004,-122.2895889,250,1
2534,Charming 1940's craftsman 3bdrm 2bt,47.66846403,-122.2829888,250,2
2557,Exquisite View Home in Capitol Hill,47.63766673,-122.31530430000001,415,2
2564,Capitol Hill Classic Great Location,47.63992865,-122.3187138,260,2
2566,2700sqft 4BR Capitol Hill home ,47.63744382,-122.31442709999999,750,2
2571,"Arboretum Haven, Seattle 4BR House",47.64003067,-122.2985028,400,2
2591,Lovely spacious home in Seattle,47.627052899999995,-122.3195449,550,2
2597,Seattle Urban Retreat,47.62456396,-122.31661499999998,230,3
2613,Cozy Capitol Hill Home,47.62329882,-122.3171682,256,2
2632,In-City PH 180º Unobstructed Views,47.63698256,-122.3217332,395,4
2634,Huge 2 BR Apartment - Cap Hill!,47.62545592,-122.3217415,325,1
2638,Luxury Capitol Hill Apartment,47.61640667,-122.32768999999999,210,1
2641,Capitol hill cabin with loft bed!,47.62303614,-122.32647720000001,210,1
2654,"Enjoy a spaciously cozy, view condo",47.61701929,-122.327147,275,1
2663,"Convenient location, beautiful view",47.62600263,-122.323306,245,3
2664,Modern Capitol Hill Apartment,47.61973814,-122.32101000000002,220,1
2683,Classic Capitol Hill Home,47.61760918,-122.32779109999998,250,4
2692,Beautiful Condo on Caphill,47.62318659,-122.3272225,250,1
2703,"spacious, great location",47.61917439,-122.3218492,225,1
2751,2Bed 2Bath w Parking Capitol Hill,47.62336483,-122.31900290000002,259,2
2756,Best Urban Location & Patio,47.61597844,-122.32693059999998,250,3
2760,Renovated 1904 Capitol Hill classic,47.62425179,-122.3258175,260,1
2770,Cozy 1BD in heart of Capitol Hill,47.62304257,-122.3193855,212,2
2775,New Modern Pike/Pine Apartment,47.61464457,-122.3168336,239,2
2792,Beautiful Capitol Hill Craftsman,47.61909772,-122.32140020000001,550,1
2795,Classic Capitol Hill House,47.62590157,-122.3273293,350,2
2803,Great Location:2Bed&2.5Bath&Parking,47.62174048,-122.3178395,225,2
2811,Home away from home - Capitol Hill ,47.61763886,-122.31467190000001,350,2
2824,THE URBAN OASIS- Great Location!,47.61854651,-122.32631809999998,360,3
2828,Modern Spacious 2BD Apt - Cap Hill,47.61503544,-122.3158878,600,5
2838,Huge 2 BR/2 Bath-Heart of Cap Hill ,47.62304603,-122.3204654,209,2
2839,Unique loft with private roof deck,47.61530919,-122.3183821,250,3
2864,Vintage Capitol Hill - 2 Pkg Spots,47.62336216,-122.3166778,240,3
2868,Best Coffee in Seattle 1 Block Away,47.6256981,-122.32095359999998,673,3
2887,Capitol Hill Historic District,47.62938384,-122.32174920000001,239,3
2894,Capitol Hill 2 BR - St. John's #203,47.6148424,-122.32356909999999,204,3
2895,Modern House with Big Views,47.63556404,-122.32156189999999,295,2
2898,Spacious Capitol Hill house,47.62511855,-122.3229593,420,2
2906,Stay on Capitol Hill!,47.62868618,-122.32233640000001,400,3
2910,Cite Jardin - An Urban Retreat,47.61690782,-122.3136919,250,1
2946,Charming Getaway in the City,47.62190186,-122.3230614,250,1
2961,Short-term stays in beautiful home,47.62026524,-122.3245313,300,2
2992,Beautiful Craftsman home in Ballard,47.68668747,-122.39140079999999,220,5
2996,Heart of Ballard Craftsman Home,47.67653971,-122.38001709999999,435,2
2999,Sunny and comfy Ballard home!,47.68131827,-122.39075940000001,220,2
3003,The Salmon House,47.67865724,-122.38596319999999,250,2
3008,2 Bdrm+ 2 Lofts Apt. Airconditioned,47.67639621,-122.3896959,265,3
3015,1BR Ballard Apartment with Hot Tub,47.68289384,-122.3833531,299,2
3049,Mathews Beach House,47.69523395,-122.2726466,250,3
3057,Architectural Retreat near U of W,47.70109135,-122.27530630000001,252,1
3070,Modern Luxury home in Ballard,47.67969205,-122.3692926,400,1
3074,Modern Townhouse + Studio w/ Loft,47.68713311,-122.37630759999999,225,1
3077,Beautiful Townhouse in Ballard,47.67763444,-122.37543329999998,375,1
3089,The Happy House-Seattle Urban Oasis,47.70919879,-122.3000456,250,2
3104,Peaceful garden Home,47.72991354,-122.3096305,240,2
3119,Near UW and Green Lake,47.68332737,-122.31222679999999,209,2
3122,Cute Basement Apartment,47.68336379,-122.31146740000001,1000,1
3151,"Cozy 2BR/2BA, Space Needle View",47.62758029,-122.3565624,275,1
3161,"""The"" Post Card View for You.",47.629267999999996,-122.3591284,498,2
3165,"Amazing View, Amazing Location",47.6210552,-122.3573777,217,2
3172,Spacious Queen Anne townhouse,47.627109600000004,-122.3462186,240,1
3173,A block from the Seattle Center,47.62615511,-122.34999109999998,275,5
3185,Puget Suite Luxury Two Bedroom,47.62362809,-122.362003,259,1
3192,3BD/3BA Townhouse Near Space Needle,47.62578699,-122.35088959999999,275,2
3197,Spacious Seattle Center Townhouse,47.6260756,-122.344504,310,3
3200,Downtown Seattle Loft + Bonus,47.61969817,-122.3581199,205,1
3214,Historic House at Seattle Center,47.62767352,-122.3586108,225,2
3223,Modern home in heart of the city,47.62749449,-122.3504307,220,2
3240,Cozy 4BR/3BA Craftsman Family Home,47.69220039,-122.29231440000001,299,3
3241,Artistic Seattle home..whole house,47.68362342,-122.2882783,250,1
3252,"NorthBeach, fantastic water view",47.69818119,-122.3871013,210,1
3258,Spectacular Beach House in the City,47.70432151,-122.3817919,240,3
3260,View Home in North Seattle,47.69810649,-122.3846413,275,2
3272,Modern 3 BR home in Seattle,47.71703853,-122.2890658,250,2
3295,Sunset Hill View Craftsman,47.68068905,-122.4014588,350,2
3300,Entire Home - Beautiful Sunset Hill,47.67698373,-122.401496,475,4
3301,delux comfort+ in coolest 'hood,47.66899481,-122.4028006,375,2
3302,"New, modern, kid-friendly home...",47.67133541,-122.40230290000001,450,2
3304,Luxury Ballard Town Home,47.66993763,-122.40305929999998,350,2
3351,Phinney Ridge Spacious 7+BR  View!,47.67305679,-122.35163929999999,375,4
3353,Sweet 2 bd Craftsman Home,47.6704531,-122.3599447,325,2
3361,Wonderful Townhouse in Phinney,47.67443807,-122.3557015,250,10
3363,Rooftop Retreat,47.67069087,-122.35582040000001,207,2
3369,Phinney Ridge Classic Craftsman,47.6771497,-122.3621942,239,3
3383,Classic 1908 Home Close-In,47.6678251,-122.358493,400,4
3386,Cottage on Phinney Ridge,47.6745096,-122.3526702,350,2
3399,Modern Greenlake Getaway,47.67405278,-122.34892190000001,349,1
3418,Gorgeous 5bedroom home - NE Seattle,47.66958389,-122.26271100000001,300,4
3420,Seattle Modern Lakefront Home,47.66137027,-122.2679953,400,3
3436,Geometric Modern Apt,47.64806733,-122.3828611,550,1
3441,Beach Bungalow Discounted 12.9 - 23,47.63297071,-122.39488689999999,228,2
3443,Beautiful Home near Downtown,47.64161954,-122.3897249,950,3
3444,City Views - Available Sept Monthly,47.6433632,-122.3881652,225,7
3447,In City 50's Modern Urban Homestead,47.64667347,-122.38496470000001,250,2
