,name,latitude,longitude,price,minimum_nights
219,Downtown Home Sleeps 8,47.630214,-122.34761509999998,349,1
223,Spectacular Queen Anne View Condo,47.63211913,-122.34681929999999,275,4
231,Queen Anne Classic Victorian 3 Bdrm,47.63214523,-122.3506487,250,3
233,Top of Queen Anne on Highland Drive,47.62994743,-122.35138799999999,209,3
239,"Luxurious, Modern, Panoramic Views",47.6327564,-122.3469865,749,1
244,Queen Anne - Cozy 3 BD View/Parking,47.63630285,-122.34782709999999,285,2
251,Luxury in Queen Anne very walkable!,47.62905147,-122.3509893,600,3
252,"2 bedroom & 2 bath, large deck VIEW",47.62983437,-122.3468722,235,1
262,Spacious Queen Anne Craftsman,47.63911468,-122.3542986,295,1
263,Queen Anne Jewel,47.64032332,-122.34938629999999,335,2
265,Charming Queen Anne Hill Craftsman,47.63703759,-122.35311100000001,250,4
266,1905 Craftsman in Ideal Location!,47.63394912,-122.34969109999999,499,2
267,Spacious 3BR/2BA  Family Home,47.63786752,-122.3530645,350,2
276,Westlake luxury loft with lake view,47.63879043,-122.34157900000001,219,2
280,Sunny Home w/ Views in Wallingford,47.65386101,-122.3384965,300,5
286,"Charm, convenience in Wallingford",47.66407098,-122.3353794,250,4
293,Wallingford Terrace Garden,47.65373805,-122.33898020000001,209,3
319,The Silhouette - Lake Union Seattle,47.64857217,-122.3407591,680,1
331,Wallingford  5 bed 2 bath near UW,47.65940041,-122.3245071,225,3
344,The Wallingford Bungalow,47.66097944,-122.333483,350,4
356,Family-Ready Craftsman Home,47.65767236,-122.3258483,575,4
361,2BR/1BA Open-Concept Condo,47.65787896,-122.3417997,259,3
368,Charming 3BR home in Wallingford,47.65510297,-122.3360436,250,2
373,Walkable bungalow with private yard,47.65355382,-122.3289685,215,2
375,Greenlake bungalow,47.67025275,-122.32888559999999,249,4
376,Lovely 3 bedroom craftsman home!,47.66031845,-122.33190520000001,295,1
382,"Green Lake- funky, fresh, foosball!",47.66809219,-122.3367733,245,2
384,Modern home in popular neighborhood,47.66291652,-122.3267233,210,1
385,"Spacious 2Br home sleeps 6, HotTub!",47.67081358,-122.3274855,439,2
393,Spacious Home in Green Lake!,47.665802500000005,-122.33876740000001,400,1
405,Wallingford 3 Bedroom Craftsman,47.65612702,-122.33530290000002,250,2
409,"3br/3ba.  modern, roof deck, garage",47.65410157,-122.33851090000002,254,1
417,Wallingford Townhouse,47.66222166,-122.3235871,350,3
420,"the orange house, quiet 'n central ",47.65447679,-122.33646429999999,310,3
422,Wallingford Tudor Home,47.66422711,-122.3390493,215,2
423,"99walkscore, 3br, deck, zoo,central",47.66121706,-122.33942420000001,245,1
432,Panoramic Water Views - 6bd/3ba,47.64923604,-122.33218020000001,490,2
436,Floating Home~Kayaks~SUPs~Bikes,47.64811529,-122.3316654,255,4
441,Charming Greenlake Craftsman,47.66993429,-122.32668989999999,325,2
452,Beautiful Queen Anne Home,47.64262214,-122.3643547,445,3
456,Modern townhouse w/hot tub,47.64758832,-122.35889540000001,235,2
461,"Magazine Profiled, View, Gorgeous ",47.64528801,-122.37264240000002,395,3
465,Fabulous 3BR Queen Anne Home,47.640947100000005,-122.35737479999999,425,2
468,"Modern Home, Kid-Friendly with View",47.65079525,-122.37238459999999,300,7
470,Queen Anne Coastal Bungalow,47.64238208,-122.37207279999998,275,2
472,Quiet family retreat-great location,47.64096458,-122.3682862,300,7
475,URBAN OASIS ON QUEEN ANNE HILL,47.64362433,-122.3674237,348,3
479,Inn of Twin Gables - North Room,47.64939343,-122.37558349999999,209,2
482,"Beautiful Update Craftsman 3BR, 3BA",47.64413086,-122.35629920000001,250,3
489,3 bedroom Queen Anne Home,47.646883,-122.354231,300,3
498,3 Bedroom 3 Bath Ship Canal Oasis,47.64783678,-122.3561688,265,3
503,Charming Home 2 Blks from Greenlake,47.68614501,-122.33218500000001,249,3
504,Stylish Craftsman Near Lake & Park,47.68532672,-122.34238909999998,250,2
507,Beautiful Central Green Lake Flat,47.68415691,-122.32597220000001,235,3
524,Cozy Greenlake Bungalow,47.69044857,-122.3421874,225,3
525,Gorgeous Greenlake Townhome,47.67552251,-122.3242977,325,1
527,Amazing Huge Modern Green Lake Home,47.68532979,-122.32485179999999,450,4
529,Large Luxury Lakeside Seattle Home,47.68354474,-122.33091110000001,550,4
533,Seattle Green Lake Getaway,47.67314449,-122.32595309999999,300,4
538,Brick Tudor One Block To Green Lake,47.67571999,-122.3321768,215,3
546,3 bdrm Craftsman home on Greenlake,47.67478054,-122.32462179999999,225,2
549,Green Lake Getaway -2min from Lake,47.67572403,-122.32469280000001,335,2
554,"Modern, Sunny 3BR/3B Greenlake Home",47.68890691,-122.3340131,325,4
558,Urban condo with a view,47.63201049,-122.3427368,250,3
560,Central. Private big deck & Views!,47.63340284,-122.3426307,400,3
565,70' Yacht  on south Lake  Union,47.63167352,-122.34050819999999,775,2
