,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
5275,41528955,Lux Apartment - Amazing Location in the loop!,150767578,Anne,Loop,41.88383,-87.62561,Entire home/apt,80,1,1,2020-01-14,0
5276,41528983,Room 1,327103193,Jorge,South Chicago,41.74291,-87.54603,Private room,21,5,7,2020-03-06,20
5277,41533106,Beautiful guest suite in charming neighborhood,85302425,Kindra,Beverly,41.71475,-87.66366,Private room,39,10,6,2020-04-11,0
5278,41533712,Private 2bedroom.,327103193,Jorge,South Chicago,41.74345,-87.54595,Entire home/apt,40,15,8,2020-03-01,1
5279,41535491,Brilliant Downtown Chicago 3-Bedroom Condominium,8094939,Alex,Near North Side,41.89535,-87.63439,Entire home/apt,380,2,8,2020-05-11,0
5280,41539055,Comfy HOME AWAY FROM HOME ~ Kick Back | ❤️ CHICAGO,316480624,George,Avondale,41.94048,-87.70024000000002,Entire home/apt,74,2,3,2020-06-28,344
5281,41552402,"Spacious Gold Coast 1BR, w/ W/D, Gym nr Magnificent Mile by Blueground",107434423,Blueground,Near North Side,41.8989,-87.62796999999998,Entire home/apt,116,30,0,,317
5282,41552449,"Airy West Loop 1BR, w/ W/D, Pool, Gym, nr the L by Blueground",107434423,Blueground,Near West Side,41.88306,-87.65131,Entire home/apt,135,30,0,,281
5283,41552547,"Mod Loop 1BR, w/ Gym, Pool nr the Millenium Park by Blueground",107434423,Blueground,Loop,41.88606,-87.62472,Entire home/apt,116,30,0,,337
5284,41552601,"Cozy Loop 1BR, w/ W/D, Gym, nr Chicago Riverwalk by Blueground",107434423,Blueground,Loop,41.88606,-87.62472,Entire home/apt,212,30,0,,30
5285,41552642,"Ideal Gold Coast 2BR, w/ Gym, Lounge, W/D, nr Oak Street by Blueground",107434423,Blueground,Near North Side,41.8989,-87.62796999999998,Entire home/apt,173,30,0,,322
5286,41561377,Unbeatable Location w/ free parking spot!!!,313091228,Randy,Loop,41.86833,-87.62495,Entire home/apt,120,2,23,2020-09-04,76
5287,41568632,Corner 2Bed 2Bath Downtown - Gym Hottub & Parking,24388042,DeLuxe,Near North Side,41.8933,-87.619,Entire home/apt,275,10,0,,353
5288,41571331,Contemporary Stylish 1BR Apt in Lakeview,166918192,Brad & Sara,Lake View,41.93928,-87.66904,Entire home/apt,99,1,21,2020-08-08,220
5289,41580889,"Chicago StadiumThemed Apartment, Ukrainian Village",12266364,Darin,West Town,41.88962,-87.68541,Entire home/apt,85,2,19,2020-09-07,16
5290,41586851,Vibrant Uptown/Edgewater Apt. | Gold Star,288925158,Gold Star,Edgewater,41.98316,-87.6566,Entire home/apt,79,1,20,2020-09-08,355
5291,41594176,Pilsen Garden Unit with Modern Amenities!,50580216,Dana,Lower West Side,41.85298,-87.6776,Entire home/apt,81,3,18,2020-08-31,89
