,name,latitude,longitude,price,minimum_nights
4345,NearWilliamsburg bridge 11211 BK,40.69572,-73.95730999999999,5000,6
4376,Photography Location,40.69127,-73.96563,4500,1
4377,Film Location,40.69137,-73.96723,8000,1
4428,Unique Brooklyn Brownstone,40.684940000000005,-73.99685,795,6
4482,Spectacular East Village Townhouse with 3 patios,40.72592,-73.97991,950,3
4503,Bright & lovely Upper East Side apt,40.77766,-73.9561,750,6
4719,2000 sq ft Photographers loft,40.715559999999996,-73.99234,785,2
4730,Clean & Comfy Modern Townhouse,40.68732,-73.98254,1000,4
4818,Lovely Near Time square in 1bedroom,40.76477,-73.98541999999999,750,3
5351,Spacious Studio in Time Square,40.76052,-73.99115,860,4
5432,Brooklyn townhouse for filming,40.6845,-73.91193,1000,2
5499,Located at the heart of Manhattan,40.75592,-73.95515,1400,90
5756,Unique Full-Floor 2br/2bath in the Heart of SoHo,40.72149,-73.99815,900,3
5801,New York I Love You 7 Bedrooms,40.68542,-73.95184,1050,3
5839,Columbus Circle and Park Views,40.7681,-73.98376999999999,2695,1
5861,Harlem Getaway Jazz Mansion,40.80469,-73.94594000000001,1000,3
5942,NY Duplex Apartment in Flatiron,40.73956,-73.98774,2000,7
5956,Stunning Brooklyn Brownstone,40.677609999999994,-73.97667,985,2
6277,East Village Townhouse,40.73118,-73.98885,1500,30
6333,Victorian with Stunning Views of NYC Harbor,40.64571,-74.07835,1000,1
6397,Best Block Clean Luxury Loft in SoHo,40.72592,-73.99933,895,1
6501,Bright Design Loft Perfect for Photoshoots,40.74968,-73.99381,1000,2
6511,"Stylish 3,000 sq ft loft in TriBeCa",40.72325,-74.00990999999999,1000,2
6530,Spanish Harlem Apt,40.792640000000006,-73.93898,9999,5
6620,SOHO GALLERY,40.71883,-74.00357,2400,1
6715,Cat-sit in our Awesome Apartment!,40.68235,-73.94634,2000,7
6978,LUXURY MID-CENTURY MODERN LOFT SOHO,40.72177,-74.00356,760,14
6987,Gramercy Park View Pied A Terre,40.73661,-73.98706,1000,7
7017,Historic Upper West Side Townhouse,40.796929999999996,-73.96348,795,4
7088,Stunning townhouse in Park Slope,40.67034,-73.97511999999999,995,2
7096,"Large, comfy 1br in Williamsburg!",40.7127,-73.94643,1763,60
7190,Private room in 3rd bedroom apt.,40.75563,-73.99424,1450,1
7356,Manhattan house for large groups,40.82249,-73.94479,825,5
7430,The TriBeCa Apartment — Spacious Living with View,40.71966,-74.00984,750,1
7477,Private cozy Bedroom in Brooklyn ,40.65137,-74.00666,2000,40
7485,Cozy bedroom in Brooklyn Sunsetpark,40.65118,-74.00842,2000,2
7513,Lux 2Bed/2.5Bath Central Park View!,40.7747,-73.98708,2000,30
7541,Lux 2Bed/2Bath Central Park Views!,40.77306,-73.98637,2000,30
